url,title,contentType
https://www.payvapayment.com/,"Payva Payment — Fast, Secure &amp; Affordable Global Money Transfers - Payva Payment Your Seamless Global Money Transfers",text/html; charset=utf-8
https://www.payvapayment.com/_next/static/chunks/a263b3f2d94fcd49.js,,application/javascript; charset=utf-8
https://www.payvapayment.com/_next/static/chunks/fd7339e607e539c1.css,,text/css; charset=utf-8
https://www.payvapayment.com/_next/static/media/f5edcc6a132fb1ad-s.p.014220aa.woff2,,font/woff2
https://www.payvapayment.com/assets/currency-2.png,,image/png
https://www.payvapayment.com/assets/features/crossborder.png,,image/png
https://www.payvapayment.com/assets/features/paybills.png,,image/png
https://www.payvapayment.com/assets/globe.png,,image/png
https://www.payvapayment.com/assets/img-p-1.png,,image/png
https://www.payvapayment.com/assets/zero-transfer.png,,image/png
https://www.payvapayment.com/company,About Us — Learn More About Payva Payment | Our Story &amp; Values - Payva Payment Your Seamless Global Money Transfers,text/html; charset=utf-8
https://www.payvapayment.com/contact,Contact Us — We&#x27;re Here to Help | Payva Payment - Payva Payment Your Seamless Global Money Transfers,text/html; charset=utf-8
https://www.payvapayment.com/favicon.ico,,image/x-icon
https://www.payvapayment.com/favicon.ico?favicon.1611a703.ico,,image/x-icon
https://www.payvapayment.com/features,Features — Everything You Need for Global Payments | Payva - Payva Payment Your Seamless Global Money Transfers,text/html; charset=utf-8
https://www.payvapayment.com/privacy-policy,Privacy Policy — Your Data Protection &amp; Privacy | Payva Payment - Payva Payment Your Seamless Global Money Transfers,text/html; charset=utf-8
https://www.payvapayment.com/sitemap.xml,,application/xml
https://www.payvapayment.com/terms,Terms of Service — Payva Payment User Agreement &amp; Policies - Payva Payment Your Seamless Global Money Transfers,text/html; charset=utf-8
